Kartoffel-Hackfleisch-Auflauf;68;Auflauf;584;28,0;34,8;36,8;false;false
Tacosalat;69;Klassisch;596;44,3;26,4;33,1;false;false
Lasagne Bolognese;70;Auflauf;599;52,3;28,5;29,9;false;false
Spaghetti mit Hackbällchen-Tomatensoße;71;Klassisch;608;60,3;31,5;25,6;false;false
Schwartenwurstsoße mit Kartoffeln;72;Klassisch;613;58,1;27,3;28,8;false;false
Kartoffel-Hack-Gratin mit Paprika;73;Auflauf;614;37,9;34,4;34,7;false;false
Grilled Cheese Sandwich with Bacon and Eggs;74;Fast Food;622;21,5;35,1;43,7;false;false
Kartoffelbrei mit Gehacktes-Klößchen;75;Klassisch;623;43,5;36,2;41,1;false;false
Spaghettisalat mit Hähnchenbrustfilet und Gurkensalat;76;Klassisch;624;59,1;40,8;23,0;false;false
Nudeln mit Puten-Geschnetzeltem und Salat;77;Klassisch;625;54,4;41,2;16,4;false;false
Spaghetti Bolognese Tacos;78;Fast Food;651;61,9;26,5;32,5;false;false
Pommes mit Chicken Wings und Mayo;79;Fast Food;653;32,1;33,6;42,6;false;false
Enchiladas;80;Klassisch;664;51,3;33,4;35,2;false;false
Ofenbällchen mit Gouda mit Reis;81;Klassisch;670;45,7;37,3;37,5;false;false
Chili con Carne mit Baguette;82;Klassisch;675;71,7;34,4;25,6;false;false
Dominos Pizza Teriyaki;83;Fast Food;745;104,5;41,2;17,2;false;false
Puten-Hacksteaks mit Kartoffelspalten und Quark;84;Klassisch;745;69,6;30,7;36,1;false;false
Pommes mit Hähnchensteak und Weißkraut;85;Klassisch;747;68,7;68,9;19,6;false;false
Gyros im Fladenbrot mit Weißkraut und Zaziki;86;Klassisch;758;73,8;52,3;26,9;false;false
Schinken-Hack-Röllchen mit Kroketten und Remoulade;87;Klassisch;761;43,3;33,0;49,7;false;false
Hähnchenschenkel mit Pommes, Mayo und Salat;88;Klassisch;764;32,0;33,2;54,6;false;false
Nudeln mit gebratenem Leberkäse;89;Klassisch;792;77,5;22,0;37,9;false;false
Hähnchen Cordon Bleu mit Pommes;90;Klassisch;798;85,7;38,1;31,7;false;false
Fertig XXL Lasagne (Penny);91;Fertiggericht;819;62,6;35,7;45,9;false;false
Großer Dönerteller mit Pommes und Salat;92;Fast Food;820;63,2;34,8;47,6;false;false
Kräuter-Sahne-Hähnchen mit Kartoffelspalten und Quark;93;Klassisch;858;63,3;61,8;37,7;false;false
Nudelsalat mit Wiener Würstchen;94;Klassisch;909;56,3;35,7;58,3;false;false
McMenü Burger,Pommes, Mayo, Cola;95;Fast Food;1413;128,7;47,7;77,5;false;false
